method,family,n_assets,seed,goal_mult,hist_goal_hit,hist_terminal_wealth,hist_shortfall,hist_max_drawdown,goal_probability,terminal_wealth,mc_goal_prob,mc_goal_prob_ci_lo,mc_goal_prob_ci_hi,mc_shortfall_mean,mc_mean_wealth,mc_median_wealth,mc_wealth_p05,mc_wealth_p25,mc_wealth_p75,mc_wealth_p95,mean_gross_leverage,max_gross_leverage,mean_net_exposure,max_single_name_weight,turnover,wealth_vol,test_u,train_time_sec,solve_time_sec,nn_param_count
fd_nd,fd,5,3,1.1,True,1.233774369753974,0.0,-0.2751436415873785,0.913,1.233774369753974,0.913,0.9005,0.9242625,0.037158511368109444,1.0948775276008917,1.1329052073570614,0.7114155189957077,1.1193581889665976,1.1448408421909877,1.1613365751643348,0.7947051770686457,8.0,0.3174575959962825,0.2901965253946802,190.05388147764515,0.1275859574205684,,0.0,2.136917886993615,0
fd_merton_multi,fd,5,3,1.1,True,1.8068907617430092,0.0,-0.04833193690866333,1.0,1.8068907617430092,,,,,,,,,,,0.9999999999999999,0.9999999999999999,0.4209917790857099,0.4531353505400263,0.0,0.05795862623046553,,0.0,0.0001149440067820251,0
nn_mlp_small,nn,5,3,1.1,True,1.4134782806887696,0.0,-0.689646749056934,0.856,1.4134782806887696,0.856,0.8415,0.8695,0.03758269623385003,1.3596513955446026,1.3694185920287034,0.7803642950845352,1.2271675733928449,1.5152834745193502,1.8156480923286247,4.107514297013259,5.022315979003906,1.8817070789598114,2.317543337873189,146.41602731595583,0.5340696072950925,0.8589131832122803,15.67595285999414,0.0,1317
nn_mlp_deep,nn,5,3,1.1,True,1.5210108362021175,0.0,-0.6414408783512122,0.8585,1.5210108362021175,0.8585,0.844,0.873,0.04992110345038635,1.3762112393557109,1.4099766812158525,0.6605374789500746,1.262704043221096,1.552239787135925,1.8441039111356612,4.4105155861792875,6.114128112792969,1.5849715296901874,2.2671050341500565,188.43593523088055,0.5354100087580511,0.8520517349243164,17.160163109001587,0.0,6597
nn_policy_net,nn,5,3,1.1,True,1.3855728243712802,0.0,-0.4303820206835254,0.6935,1.3855728243712802,0.6935,0.6725,0.713525,0.11511325337382138,1.1815810690937472,1.271706229012825,0.46906882125305377,0.9918228099190389,1.41176889581702,1.6592855631090961,7.999877877021904,8.000000000000002,-2.0001221229780968,3.3036667871098313,289.9555144475223,0.36727939910218693,0.68448406457901,16.924544134002645,0.0,34053
nn_ste_goalreach,nn,5,3,1.1,True,1.3855728243712802,0.0,-0.4303820206835254,0.6935,1.3855728243712802,0.6935,0.6725,0.713525,0.11511325337382138,1.1815810690937472,1.271706229012825,0.46906882125305377,0.9918228099190389,1.41176889581702,1.6592855631090961,7.999877877021904,8.000000000000002,-2.0001221229780968,3.3036667871098313,289.9555144475223,0.36727939910218693,0.6826171875,16.52355867800361,0.0,34053
nn_digital_hedge,nn,5,3,1.1,False,1.030401558701919,0.06959844129808102,-0.18998780253215652,0.5605,1.030401558701919,0.5605,0.5387375,0.5817625,0.029986751706296895,1.1200592302925987,1.1116317863972265,0.9754064164725784,1.0450145342968333,1.1784381258101202,1.302105094792284,0.8996296829252101,4.631381988525391,0.37815844878109534,0.40746961344237353,26.432130698114634,0.08768997960065333,0.541015625,14.596369726001285,0.0,33537
nn_policy_long_only,nn,5,3,1.1,True,1.6697228465322995,0.0,-0.35120719986168525,0.68,1.6697228465322995,0.68,0.661,0.7012625,0.044475859106147764,1.2404080112236897,1.2205038645263535,0.8501037037771406,1.0517521555521496,1.3953776287369344,1.7178790340610246,1.0000572506468095,1.0000577867031097,1.0000572506468095,0.9999915308620206,2.810359001159668e-05,0.22461151299057375,0.6754418611526489,16.092754886994953,0.0,34053
nn_ste_long_only,nn,5,3,1.1,True,1.6697230642712106,0.0,-0.3512074074943736,0.68,1.6697230642712106,0.68,0.661,0.7012625,0.044475897973258426,1.2404080921896339,1.2205038127220131,0.8501036254068375,1.0517521200579683,1.3953779906527224,1.7178797918377127,1.000058218703341,1.000058799982071,1.000058218703341,0.9999915312771773,2.8818845748901367e-05,0.22461163858070946,0.681640625,13.700159261003137,0.0,34053
nn_digital_hedge_long_only,nn,5,3,1.1,False,0.9951740592353708,0.10482594076462926,-0.27036680928134915,0.57,0.9951740592353708,0.57,0.547475,0.5915,0.03573982661196116,1.1357166168560517,1.1173115367502628,0.9477325950907545,1.0365025475866074,1.2130518684418319,1.3839271240345525,0.5160791554557743,1.0000000819563866,0.5160791554557743,0.3278609168915013,7.877152170985937,0.10693057922385442,0.5400390625,14.161999825009843,0.0,33537
